City,State,Forecast_2025,AttractivenessRank,Latitude,Longitude
Los Angeles,CA,702016.8351,1,34.0536909,-118.242766
Chicago,IL,671671.2861,2,41.8755616,-87.6244212
Philadelphia,PA,556355.8628,3,39.9527237,-75.1635262
Jacksonville,FL,450191.251,4,30.3321838,-81.655651
Trenton,NJ,405781.7668,5,40.2203074,-74.7659
Phoenix,AZ,363113.3166,6,33.4484367,-112.074141
San Antonio,TX,308160.1587,7,29.4246002,-98.4951405
Boston,MA,307499.597,8,42.3554334,-71.060511
Atlanta,GA,267353.5467,9,33.7489924,-84.3902644
Virginia Beach,VA,264142.1839,10,36.8529841,-75.9774183
Vineland,NJ,263265.0642,11,39.4862777,-75.0254256
Seattle,WA,263160.9162,12,47.6038321,-122.330062
Detroit,MI,258640.0982,13,42.3315509,-83.0466403
Columbus,OH,251955.4161,14,39.9622601,-83.0007065
San Jose,CA,237970.9751,15,37.3361663,-121.890591
San Diego,CA,218482.8984,16,32.7174202,-117.162772
Charlotte,NC,212697.2885,17,35.2272086,-80.8430827
Minneapolis,MN,209529.3793,18,44.9772995,-93.2654692
Indianapolis,IN,205618.6644,19,39.7683331,-86.1583502
Dallas,TX,204079.8329,20,32.7762719,-96.7968559
San Francisco,CA,199609.7354,21,37.7792588,-122.4193286
Memphis,TN,183789.1546,22,35.1460249,-90.0517638
Miami,FL,182776.1994,23,25.7741728,-80.19362
Denver,CO,178471.5885,24,39.7392364,-104.984862
Riverside,CA,170903.3067,25,33.7219991,-116.0372472
Tampa,FL,167334.2537,26,27.9477595,-82.458444
Orlando,FL,141890.8622,27,28.5421109,-81.3790304
Las Vegas,NV,141174.5079,28,36.1672559,-115.148516
Portland,OR,131314.0865,29,45.5202471,-122.674194
Fort Wayne,IN,120525.6698,30,41.0799898,-85.1386015
Colorado Springs,CO,120148.2415,31,38.8339578,-104.825348
Tucson,AZ,118036.7556,32,32.2228765,-110.974847
Columbus,GA,108529.8101,33,39.9622601,-83.0007065
Raleigh,NC,107537.9542,34,35.7803977,-78.6390989
New York,NY,107466.9885,35,40.7127281,-74.0060152
Port St. Lucie,FL,106480.1347,36,27.2939333,-80.3503283
Pittsburgh,PA,105921.3681,37,40.4416941,-79.9900861
Sacramento,CA,103670.5871,38,38.5810606,-121.493895
Cleveland,OH,100343.3594,39,41.4996574,-81.6936772
New Orleans,LA,99083.98959,40,29.9759983,-90.0782127
Cape Coral,FL,98886.21041,41,26.5625742,-81.9438802
Bakersfield,CA,98188.36562,42,35.3738712,-119.019463
Springfield,MO,88034.57311,43,39.7990175,-89.6439575
Albuquerque,NM,86619.74928,44,35.0841034,-106.650985
Cincinnati,OH,85887.72519,45,39.1014537,-84.5124602
Tallahassee,FL,84778.52811,46,30.4380832,-84.2809332
Bowling Green,KY,84003.70786,47,36.9903199,-86.4436018
Grand Rapids,MI,82092.76184,48,42.9632425,-85.6678639
Omaha,NE,81913.88496,49,41.2587459,-95.9383758
